Artist,Followers,Popularity,Genres,Group,Gender
THE BOYZ,840732,65,"['k-pop', 'k-pop boy group']",True,Male
JUNIEL,21870,40,"['k-pop', 'korean ost', 'korean pop']",False,Unknown/Co-Ed
WENDY,276392,62,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
Girls' Generation,1694144,67,"['j-idol', 'k-pop', 'k-pop girl group']",True,Female
CHEN,999401,66,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
MAMAMOO,2651015,78,"['k-pop', 'k-pop girl group']",True,Female
j-hope,4632889,69,"['k-pop', 'k-rap']",False,Unknown/Co-Ed
BEN,32547,55,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
ONF,240787,52,"['k-pop', 'k-pop boy group']",True,Male
TOMORROW X TOGETHER,2422140,78,['k-pop'],False,Unknown/Co-Ed
Gummy,176007,59,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
KYUHYUN,261937,57,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
SHINHWA,209343,49,"['k-pop', 'k-pop boy group']",True,Male
GFRIEND,955805,72,"['k-pop', 'k-pop girl group']",True,Female
PARK JI HOON,164811,51,['k-pop'],False,Unknown/Co-Ed
CL,640060,67,['k-pop'],False,Unknown/Co-Ed
VICTON,367808,55,"['k-pop', 'k-pop boy group']",True,Male
Trouble Maker,168770,48,['k-pop'],False,Unknown/Co-Ed
Girl's Day,493786,52,"['k-pop', 'k-pop girl group']",True,Female
TAEMIN,1462361,72,['k-pop'],False,Unknown/Co-Ed
MBLAQ,204442,45,"['k-pop', 'k-pop boy group']",True,Male
SE7EN,124660,39,['k-pop'],False,Unknown/Co-Ed
Sondia,19394,57,"['k-pop', 'korean ost', 'korean pop']",False,Unknown/Co-Ed
Lyn,207003,57,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
miss A,553128,55,"['k-pop', 'k-pop girl group']",True,Female
Yoon Mirae,170910,61,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
Beast,378483,55,"['k-pop', 'k-pop boy group']",True,Male
T-ARA,531455,57,"['k-pop', 'k-pop girl group']",True,Female
K.Will,241868,57,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
INFINITE,735973,55,"['k-pop', 'k-pop boy group']",True,Male
VERIVERY,148282,54,"['k-pop', 'k-pop boy group']",True,Male
NCT DREAM,2399590,72,"['k-pop', 'k-pop boy group']",True,Male
NU'EST,711322,55,"['k-pop', 'k-pop boy group', 'korean pop']",True,Male
2NE1,1626921,64,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",True,Female
CIX,278875,62,['k-pop'],False,Unknown/Co-Ed
After School,182672,47,"['k-pop', 'k-pop girl group']",True,Female
god,10769,46,"['k-pop boy group', 'korean pop', 'world worship']",True,Male
PENTAGON,990493,68,"['k-pop', 'k-pop boy group']",True,Male
EXID,1145571,60,"['k-pop', 'k-pop girl group']",True,Female
Red Velvet,4315880,77,"['k-pop', 'k-pop girl group']",True,Female
Kim Yeonji,17210,44,"['k-pop', 'korean ost', 'korean pop']",False,Unknown/Co-Ed
fromis_9,357035,58,"['k-pop', 'k-pop girl group']",True,Female
JENNIE,467374,66,['k-pop'],False,Unknown/Co-Ed
A.C.E,652172,59,"['k-pop', 'k-pop boy group']",True,Male
(G)I-DLE,1987685,81,"['k-pop', 'k-pop girl group']",True,Female
Wanna One,1586661,60,"['k-pop', 'k-pop boy group']",True,Male
Eric Nam,879940,67,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
Punch,122382,67,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
U-KISS,275092,46,"['k-pop', 'k-pop boy group']",True,Male
Brown Eyed Girls,165873,48,"['k-pop', 'k-pop girl group']",True,Female
KARD,1215408,66,['k-pop'],False,Unknown/Co-Ed
ITZY,1321622,76,['k-pop girl group'],True,Female
CHUNG HA,1157534,69,['k-pop'],False,Unknown/Co-Ed
Orange Caramel,216347,47,"['k-pop', 'k-pop girl group']",True,Female
Han Seungwoo,34948,47,"['k-pop', 'korean ost']",False,Unknown/Co-Ed
Stella Jang,75323,56,"['k-indie', 'k-pop', 'korean city pop', 'korean pop']",False,Unknown/Co-Ed
Jamie,296315,61,['k-pop'],False,Unknown/Co-Ed
Fin.K.L,10365,36,"['k-pop girl group', 'korean pop']",True,Female
Stray Kids,3272375,82,"['k-pop', 'k-pop boy group']",True,Male
Loco,193498,66,"['k-pop', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
SHINee,1964563,66,"['k-pop', 'k-pop boy group', 'korean pop']",True,Male
Apink,795226,62,"['k-pop', 'k-pop girl group']",True,Female
SISTAR,688997,57,"['k-pop', 'k-pop girl group', 'korean pop']",True,Female
DONGKIZ,18047,33,['k-pop boy group'],True,Male
ONEUS,432412,61,"['k-pop', 'k-pop boy group']",True,Male
Wonder Girls,355298,55,"['k-pop', 'k-pop girl group']",True,Female
SUPER JUNIOR-D&E,481093,55,"['k-pop', 'k-pop boy group']",True,Male
IU,2632315,77,['k-pop'],False,Unknown/Co-Ed
TREASURE,364465,70,['k-pop'],False,Unknown/Co-Ed
EXO-CBX,1779653,57,"['k-pop', 'k-pop boy group']",True,Male
HA:TFELT,54743,49,"['k-indie', 'k-pop', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
BTS,25351582,98,"['k-pop', 'k-pop boy group']",True,Male
HA SUNG WOON,117426,51,['k-pop'],False,Unknown/Co-Ed
HYO,156772,59,['k-pop'],False,Unknown/Co-Ed
HyunA,1104723,59,['k-pop'],False,Unknown/Co-Ed
EVERGLOW,679471,72,"['k-pop', 'k-pop girl group']",True,Female
TOO,87236,45,"['k-pop', 'k-pop boy group']",True,Male
SOYOU,238009,58,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
EXO,6801682,77,"['k-pop', 'k-pop boy group']",True,Male
GD&TOP,471919,44,"['k-pop', 'k-rap']",False,Unknown/Co-Ed
DEAN,911152,67,"['k-pop', 'korean r&b']",False,Unknown/Co-Ed
Lovelyz,287035,52,"['k-pop', 'k-pop girl group', 'korean pop']",True,Female
TEEN TOP,293821,48,"['k-pop', 'k-pop boy group']",True,Male
NCT U,2032079,76,"['k-pop', 'k-pop boy group']",True,Male
TAEYEON,1595454,71,['k-pop'],False,Unknown/Co-Ed
VAV,497457,52,"['k-pop', 'k-pop boy group']",True,Male
B1A4,449997,57,"['k-pop', 'k-pop boy group']",True,Male
AILEE,732122,63,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
f(x),896749,58,"['k-pop', 'k-pop girl group']",True,Female
Gaho,130827,65,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
MINO,662866,66,['k-pop'],False,Unknown/Co-Ed
BLACKPINK,16740070,93,"['k-pop', 'k-pop girl group']",True,Female
NCT,2270473,66,"['k-pop', 'k-pop boy group']",True,Male
Kim Feel,37347,59,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
saevom,11102,40,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
BIGBANG,4096896,71,"['k-pop', 'k-pop boy group']",True,Male
Gain,58853,40,['k-pop'],False,Unknown/Co-Ed
Block B,810817,55,"['k-pop', 'k-pop boy group', 'korean r&b']",True,Male
Monsta X,2997431,75,"['k-pop', 'k-pop boy group']",True,Male
CODE KUNST,118368,54,"['k-indie', 'k-pop', 'k-rap', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
Jay Park,1175271,71,"['k-pop', 'k-rap', 'korean r&b']",False,Unknown/Co-Ed
Kim Na Young,92921,54,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
LADIES' CODE,83580,42,"['k-pop', 'k-pop girl group']",True,Female
K/DA,753115,82,['k-pop girl group'],True,Female
AleXa,92705,58,['k-pop'],False,Unknown/Co-Ed
BOL4,812645,69,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
BoA,521733,60,"['j-idol', 'k-pop']",False,Unknown/Co-Ed
ASTRO,1110496,63,"['k-pop', 'k-pop boy group']",True,Male
BAEKHYUN,1483032,70,['k-pop'],False,Unknown/Co-Ed
YooA,21966,55,['k-pop'],False,Unknown/Co-Ed
AB6IX,350368,59,"['k-pop', 'k-pop boy group']",True,Male
Davichi,495872,64,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
Secret,127521,42,"['k-pop', 'k-pop girl group']",True,Female
LOONA,931578,73,"['k-pop', 'k-pop girl group']",True,Female
AOA,562093,57,"['k-pop', 'k-pop girl group']",True,Female
Kim Sung Kyu,35772,41,['k-pop'],False,Unknown/Co-Ed
MCND,231206,54,['k-pop'],False,Unknown/Co-Ed
SuperM,1172533,72,['k-pop'],False,Unknown/Co-Ed
VIXX,825879,54,"['k-pop', 'k-pop boy group']",True,Male
Yang Da Il,63893,52,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
WINNER,1886923,64,"['k-pop', 'k-pop boy group']",True,Male
Zion.T,389816,62,"['k-indie', 'k-pop', 'k-rap', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
Weki Meki,548363,59,"['k-pop', 'k-pop girl group']",True,Female
MOMOLAND,2062600,62,"['k-pop', 'k-pop girl group']",True,Female
2AM,132010,43,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
DAY6,1756396,74,"['k-pop', 'k-pop boy group']",True,Male
DREAMCATCHER,506759,68,"['k-pop', 'k-pop girl group']",True,Female
Solar,292956,53,['k-pop'],False,Unknown/Co-Ed
HEIZE,573015,67,"['k-pop', 'korean pop', 'korean r&b']",False,Unknown/Co-Ed
iKON,2774862,69,"['k-pop', 'k-pop boy group']",True,Male
IZ*ONE,696367,69,"['k-pop', 'k-pop girl group']",True,Female
Epik High,399228,60,"['k-indie', 'k-pop', 'k-rap', 'korean pop']",False,Unknown/Co-Ed
XIUMIN,558469,53,['k-pop'],False,Unknown/Co-Ed
KANG DANIEL,376396,57,['k-pop'],False,Unknown/Co-Ed
Golden Child,377594,56,"['k-pop', 'k-pop boy group']",True,Male
KNK,200230,43,"['k-pop', 'k-pop boy group']",True,Male
S.E.S.,26910,40,"['k-pop', 'k-pop girl group', 'korean pop']",True,Female
Jessi,312190,67,['k-pop'],False,Unknown/Co-Ed
EXO-SC,663207,60,"['k-pop', 'k-pop boy group']",True,Male
ATEEZ,1110789,74,"['k-pop', 'k-pop boy group']",True,Male
CRAVITY,150658,53,['k-pop'],False,Unknown/Co-Ed
Younha,177130,61,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
FTISLAND,341270,52,"['k-pop', 'k-pop boy group', 'k-rock', 'korean pop']",True,Male
YEZI,83133,43,['k-pop'],False,Unknown/Co-Ed
SUNMI,1856939,67,['k-pop'],False,Unknown/Co-Ed
CHEEZE,61733,59,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
AKMU,660540,67,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
CLC,761514,65,"['k-pop', 'k-pop girl group', 'korean city pop']",True,Female
Standing Egg,94583,54,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
Crush,686684,72,"['k-pop', 'korean r&b']",False,Unknown/Co-Ed
Red Velvet - IRENE & SEULGI,168461,66,['k-pop'],False,Unknown/Co-Ed
4Minute,836879,55,"['k-pop', 'k-pop girl group']",True,Female
CNBLUE,526920,58,"['k-pop', 'k-pop boy group']",True,Male
SUPER JUNIOR,1825585,68,"['k-pop', 'k-pop boy group', 'korean pop']",True,Male
CHANYEOL,1103143,65,['k-pop'],False,Unknown/Co-Ed
B.A.P,658480,52,"['k-pop', 'k-pop boy group']",True,Male
TVXQ!,614805,56,"['k-pop', 'k-pop boy group']",True,Male
GOT7,4182023,73,"['k-pop', 'k-pop boy group']",True,Male
SS501,137333,56,"['k-pop', 'k-pop boy group']",True,Male
SECHSKIES,98067,45,"['k-pop', 'k-pop boy group']",True,Male
EXO-K,1417852,56,"['k-pop', 'k-pop boy group']",True,Male
WOODZ,216883,62,"['k-pop', 'korean r&b']",False,Unknown/Co-Ed
Jung Yong Hwa,137779,51,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
10cm,142365,62,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
SHAUN,202154,68,['k-pop'],False,Unknown/Co-Ed
SPECTRUM,32311,29,['k-pop boy group'],True,Male
Hyolyn,460417,61,"['k-pop', 'korean r&b']",False,Unknown/Co-Ed
DAWN 던,94451,59,['k-pop'],False,Unknown/Co-Ed
WEi,27568,48,['k-pop'],False,Unknown/Co-Ed
SF9,1051116,59,"['k-pop', 'k-pop boy group']",True,Male
KIM JAE HWAN,111694,53,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
KARA,351612,53,"['k-pop', 'k-pop girl group']",True,Female
Jukjae,15651,52,"['k-indie', 'k-pop', 'korean pop', 'world worship']",False,Unknown/Co-Ed
Hwa Sa,1023452,72,"['k-pop', 'korean mask singer']",False,Unknown/Co-Ed
LeeHi,674540,68,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
JEONG EUN JI,127231,49,"['k-pop', 'korean pop']",False,Unknown/Co-Ed
NCT 127,3258259,76,"['k-pop', 'k-pop boy group']",True,Male
Sung Si Kyung,58852,54,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
Jung Seung Hwan,84005,60,"['k-indie', 'k-pop', 'korean pop']",False,Unknown/Co-Ed
H&D,56706,42,"['k-pop', 'k-pop boy group']",True,Male
TWICE,7086104,86,"['k-pop', 'k-pop girl group']",True,Female
SEVENTEEN,4405038,79,"['k-pop', 'k-pop boy group']",True,Male
RAINBOW,13935,38,"['k-pop', 'k-pop girl group']",True,Female
SOMI,362398,65,['k-pop'],False,Unknown/Co-Ed
